;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 19/05/2017 01:45:49 p. m.
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF008EF00  	GOTO        4096
0x0004	0x0000      	NOP
0x0006	0x0000      	NOP
0x0008	0xF000EF00  	GOTO        0
0x000C	0x0000      	NOP
0x000E	0x0000      	NOP
0x0010	0x0000      	NOP
0x0012	0x0000      	NOP
0x0014	0x0000      	NOP
0x0016	0x0000      	NOP
0x0018	0xD7F3      	BRA         0
_main:
;LCD_i2c.mbas,197 :: 		org 0x1000
;LCD_i2c.mbas,200 :: 		txt1 = "I2C LCD EXAMPLE"
0x1000	0x0E49      	MOVLW       73
0x1002	0x6E46      	MOVWF       _txt1 
0x1004	0x0E32      	MOVLW       50
0x1006	0x6E47      	MOVWF       _txt1+1 
0x1008	0x0E43      	MOVLW       67
0x100A	0x6E48      	MOVWF       _txt1+2 
0x100C	0x0E20      	MOVLW       32
0x100E	0x6E49      	MOVWF       _txt1+3 
0x1010	0x0E4C      	MOVLW       76
0x1012	0x6E4A      	MOVWF       _txt1+4 
0x1014	0x0E43      	MOVLW       67
0x1016	0x6E4B      	MOVWF       _txt1+5 
0x1018	0x0E44      	MOVLW       68
0x101A	0x6E4C      	MOVWF       _txt1+6 
0x101C	0x0E20      	MOVLW       32
0x101E	0x6E4D      	MOVWF       _txt1+7 
0x1020	0x0E45      	MOVLW       69
0x1022	0x6E4E      	MOVWF       _txt1+8 
0x1024	0x0E58      	MOVLW       88
0x1026	0x6E4F      	MOVWF       _txt1+9 
0x1028	0x0E41      	MOVLW       65
0x102A	0x6E50      	MOVWF       _txt1+10 
0x102C	0x0E4D      	MOVLW       77
0x102E	0x6E51      	MOVWF       _txt1+11 
0x1030	0x0E50      	MOVLW       80
0x1032	0x6E52      	MOVWF       _txt1+12 
0x1034	0x0E4C      	MOVLW       76
0x1036	0x6E53      	MOVWF       _txt1+13 
0x1038	0x0E45      	MOVLW       69
0x103A	0x6E54      	MOVWF       _txt1+14 
0x103C	0x6A55      	CLRF        _txt1+15 
;LCD_i2c.mbas,201 :: 		txt2 = "Hola mundo! :)"
0x103E	0x0E48      	MOVLW       72
0x1040	0x6E35      	MOVWF       _txt2 
0x1042	0x0E6F      	MOVLW       111
0x1044	0x6E36      	MOVWF       _txt2+1 
0x1046	0x0E6C      	MOVLW       108
0x1048	0x6E37      	MOVWF       _txt2+2 
0x104A	0x0E61      	MOVLW       97
0x104C	0x6E38      	MOVWF       _txt2+3 
0x104E	0x0E20      	MOVLW       32
0x1050	0x6E39      	MOVWF       _txt2+4 
0x1052	0x0E6D      	MOVLW       109
0x1054	0x6E3A      	MOVWF       _txt2+5 
0x1056	0x0E75      	MOVLW       117
0x1058	0x6E3B      	MOVWF       _txt2+6 
0x105A	0x0E6E      	MOVLW       110
0x105C	0x6E3C      	MOVWF       _txt2+7 
0x105E	0x0E64      	MOVLW       100
0x1060	0x6E3D      	MOVWF       _txt2+8 
0x1062	0x0E6F      	MOVLW       111
0x1064	0x6E3E      	MOVWF       _txt2+9 
0x1066	0x0E21      	MOVLW       33
0x1068	0x6E3F      	MOVWF       _txt2+10 
0x106A	0x0E20      	MOVLW       32
0x106C	0x6E40      	MOVWF       _txt2+11 
0x106E	0x0E3A      	MOVLW       58
0x1070	0x6E41      	MOVWF       _txt2+12 
0x1072	0x0E29      	MOVLW       41
0x1074	0x6E42      	MOVWF       _txt2+13 
0x1076	0x6A43      	CLRF        _txt2+14 
;LCD_i2c.mbas,203 :: 		I2C1_Init(100000)
0x1078	0x0E78      	MOVLW       120
0x107A	0x6EC8      	MOVWF       SSPADD 
0x107C	0xDA13      	RCALL       _I2C1_Init
;LCD_i2c.mbas,205 :: 		I2C_LCD_Init()
0x107E	0xDA51      	RCALL       _I2C_LCD_Init
;LCD_i2c.mbas,206 :: 		I2C_LCD_Cmd(_LCD_CURSOR_OFF)
0x1080	0x0E0C      	MOVLW       12
0x1082	0x6F64      	MOVWF       FARG_I2C_LCD_Cmd_out_char, 1
0x1084	0xD923      	RCALL       _I2C_LCD_Cmd
;LCD_i2c.mbas,207 :: 		I2C_LCD_Cmd(_LCD_CLEAR)
0x1086	0x0E01      	MOVLW       1
0x1088	0x6F64      	MOVWF       FARG_I2C_LCD_Cmd_out_char, 1
0x108A	0xD920      	RCALL       _I2C_LCD_Cmd
;LCD_i2c.mbas,208 :: 		I2C_Lcd_Out(1,1,txt1)                 ' Write text in first row
0x108C	0x0E01      	MOVLW       1
0x108E	0x6E57      	MOVWF       FARG_I2C_LCD_Out_row 
